"";"NUMREGCAR";"uf";"munic";"code";"fcar"
"1";"SP35140076014F79CEECF4152A70B4A9F3D0D7B04";"SP";"3514007";"6014F79CEECF4152A70B4A9F3D0D7B04";"SP-3514007-6014F79CEECF4152A70B4A9F3D0D7B04"
"2";"SP35537083F8DFC2C49614B768D2A3D8021299A0C";"SP";"3553708";"3F8DFC2C49614B768D2A3D8021299A0C";"SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C"
"3";"SP35465049648430DFB474A91A01A8EAFA138BD85";"SP";"3546504";"9648430DFB474A91A01A8EAFA138BD85";"SP-3546504-9648430DFB474A91A01A8EAFA138BD85"
"4";"SP351400777F54651DC4A46AFA8B232163B49C717";"SP";"3514007";"77F54651DC4A46AFA8B232163B49C717";"SP-3514007-77F54651DC4A46AFA8B232163B49C717"
"5";"SP3514007833EAD65C9F641BA99F67AA2E2F76B79";"SP";"3514007";"833EAD65C9F641BA99F67AA2E2F76B79";"SP-3514007-833EAD65C9F641BA99F67AA2E2F76B79"
"6";"SP35537082363162A99F549EB95F8BDA41D6C4C41";"SP";"3553708";"2363162A99F549EB95F8BDA41D6C4C41";"SP-3553708-2363162A99F549EB95F8BDA41D6C4C41"
"7";"SP35537085960E44CF242431F94BA1212D08EE2D0";"SP";"3553708";"5960E44CF242431F94BA1212D08EE2D0";"SP-3553708-5960E44CF242431F94BA1212D08EE2D0"
"8";"SP3553708E51EA7DD08D546399EF2AE3287C4ACD3";"SP";"3553708";"E51EA7DD08D546399EF2AE3287C4ACD3";"SP-3553708-E51EA7DD08D546399EF2AE3287C4ACD3"
"9";"SP35537087308C60431CD4F07A5E55753250CCDD8";"SP";"3553708";"7308C60431CD4F07A5E55753250CCDD8";"SP-3553708-7308C60431CD4F07A5E55753250CCDD8"
"10";"SP35537084A30A523A28C43778BC59CB5237794FF";"SP";"3553708";"4A30A523A28C43778BC59CB5237794FF";"SP-3553708-4A30A523A28C43778BC59CB5237794FF"
"11";"SP3514007B66C8FCCCC7E4493A5B40502B6BEC627";"SP";"3514007";"B66C8FCCCC7E4493A5B40502B6BEC627";"SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627"
"12";"SP354650442B9DF1F3D984DB397C7D6D1B5E5241C";"SP";"3546504";"42B9DF1F3D984DB397C7D6D1B5E5241C";"SP-3546504-42B9DF1F3D984DB397C7D6D1B5E5241C"
"13";"SP35537083F8DFC2C49614B768D2A3D8021299A0C";"SP";"3553708";"3F8DFC2C49614B768D2A3D8021299A0C";"SP-3553708-3F8DFC2C49614B768D2A3D8021299A0C"
